Date,BLK Equity,SPXT Index,H15T1Y Index
5/17/2002,46.1,1569.17,2.45
5/20/2002,45.66,1548.31,2.41
5/21/2002,45.35,1531.32,2.38
5/22/2002,45.23,1540.12,2.34
5/23/2002,46.1,1555.82,2.38
5/24/2002,45.41,1537.02,2.37
5/28/2002,45.25,1523.89,2.41
5/29/2002,44.85,1514.33,2.35
5/30/2002,43.87,1510.25,2.31
5/31/2002,43,1513.77,2.34
6/3/2002,41.95,1476.26,2.35
6/4/2002,42.56,1476.28,2.31
6/5/2002,44.1,1489.88,2.33
6/6/2002,43.85,1460.5,2.3
6/7/2002,44.1,1458.21,2.31
6/10/2002,44.51,1462.78,2.3
6/11/2002,43.5,1438.47,2.27
6/12/2002,43.35,1448.16,2.25
6/13/2002,43.2,1433.01,2.2
6/14/2002,42.15,1429.78,2.16
6/17/2002,41.9,1470.84,2.2
6/18/2002,43.65,1472.25,2.16
6/19/2002,42.7,1447.98,2.07
6/20/2002,42.86,1428.55,2.12
6/21/2002,42.2,1404.21,2.09
6/24/2002,42.55,1409.3,2.15
6/25/2002,43.05,1385.77,2.16
6/26/2002,43.15,1382.78,2.05
6/27/2002,44.06,1407.11,2.09
6/28/2002,44.3,1405.94,2.06
7/1/2002,43.85,1375.88,2.09
7/2/2002,43.21,1346.96,2.04
7/3/2002,42.16,1355.4,2.02
7/5/2002,42.4,1405.2,2.08
7/8/2002,42.95,1388.44,2.08
7/9/2002,42.27,1354.23,2.01
7/10/2002,42.1,1308.3,1.97
7/11/2002,42.3,1318.18,1.95
7/12/2002,43.32,1309.68,1.97
7/15/2002,43.95,1304.76,1.97
7/16/2002,43.71,1280.78,1.99
